close,high,low,open,timestamp,volume
26326,26326,26325,26325,1684972800,0.07914520
26331,26331,26311,26325,1684972860,4.30596183
26333,26333,26333,26333,1684972920,0.00999000
26355,26355,26337,26337,1684972980,0.06510753
26349,26360,26349,26355,1684973040,0.87984691
26333,26357,26333,26349,1684973100,0.33514357
26324,26335,26324,26334,1684973160,0.12409272
26359,26362,26332,26335,1684973220,5.67591292
26368,26368,26360,26360,1684973280,0.00834597
26381,26381,26367,26367,1684973340,0.27855562
26360,26373,26360,26373,1684973400,0.61712227
26349,26357,26349,26357,1684973460,0.18735431
26348,26348,26348,26348,1684973520,0.02803000
26347,26354,26347,26348,1684973580,0.49873970
26351,26353,26351,26353,1684973640,0.01656006
26346,26346,26346,26346,1684973700,0.00250000
26336,26346,26336,26346,1684973760,0.81721924
26320,26333,26320,26333,1684973820,0.18959540
26317,26318,26317,26318,1684973880,0.03718430
26296,26314,26295,26314,1684973940,0.08546030
26289,26297,26289,26294,1684974000,0.14249597
26276,26286,26276,26286,1684974060,0.04651543
26275,26282,26273,26279,1684974120,0.09059998
26304,26304,26289,26289,1684974180,0.05687913
26288,26288,26286,26286,1684974240,0.00747000
26278,26278,26278,26278,1684974300,0.00107000
26276,26279,26276,26279,1684974360,0.02886852
26274,26274,26274,26274,1684974420,0.00189779
26269,26276,26269,26275,1684974480,0.09122369
26276,26276,26271,26271,1684974540,0.05651000
26283,26283,26283,26283,1684974600,0.00206951
26255,26271,26255,26271,1684974660,14.51318955
26251,26254,26251,26254,1684974720,0.74356993
26242,26251,26237,26250,1684974780,6.42824265
26259,26259,26253,26253,1684974840,1.17465541
26254,26267,26254,26264,1684974900,0.04126279
26257,26257,26257,26257,1684974960,0.00102000
26267,26267,26258,26258,1684975020,0.13831517
26259,26266,26259,26266,1684975080,0.00670061
26260,26260,26260,26260,1684975140,0.00548000
26268,26268,26263,26263,1684975200,0.00608724
26254,26269,26254,26268,1684975260,0.16253541
26234,26245,26234,26245,1684975320,0.05990955
26217,26239,26217,26239,1684975380,3.01940244
26219,26224,26219,26224,1684975440,0.41308708
26213,26221,26200,26219,1684975500,6.56267407
26226,26226,26212,26212,1684975560,0.26580914
26237,26237,26229,26229,1684975620,0.14243820
26238,26239,26237,26237,1684975680,0.05719324
26247,26247,26242,26242,1684975740,0.06332961
26240,26243,26240,26243,1684975800,0.01996664
26235,26237,26235,26237,1684975860,0.05459559
26223,26232,26223,26232,1684975920,0.01910657
26229,26229,26223,26223,1684975980,0.04367000
26245,26245,26239,26241,1684976040,0.06857279
26248,26250,26248,26248,1684976100,0.03309956
26251,26260,26249,26249,1684976160,0.82027064
26244,26250,26244,26250,1684976220,0.00386013
26229,26229,26220,26229,1684976280,0.09131224
26237,26237,26225,26225,1684976340,0.96318707
26262,26262,26234,26234,1684976400,0.27966141
26273,26273,26261,26261,1684976460,0.16455056
26301,26305,26273,26273,1684976520,0.09522034
26311,26311,26305,26305,1684976580,0.18629341
26308,26310,26308,26310,1684976640,0.02000000
26294,26302,26294,26301,1684976700,0.02352392
26273,26290,26273,26290,1684976760,0.05715315
26261,26270,26261,26270,1684976820,0.05035900
26230,26257,26229,26257,1684976880,0.78629210
26245,26245,26232,26232,1684976940,0.06257000
26256,26256,26251,26251,1684977000,0.13695687
26247,26249,26247,26249,1684977060,0.01946712
26237,26239,26237,26239,1684977120,0.42258570
26234,26235,26234,26234,1684977180,0.07224441
26242,26243,26228,26233,1684977240,0.62725325
26213,26232,26213,26232,1684977300,0.12652672
26212,26231,26212,26222,1684977360,0.05378130
26204,26215,26204,26212,1684977420,0.04763460
26197,26207,26193,26202,1684977480,2.99262784
26187,26197,26187,26197,1684977540,1.53465565
26203,26208,26187,26187,1684977600,0.37572781
26184,26203,26184,26203,1684977660,0.95369066
26177,26199,26177,26183,1684977720,1.78508464
26175,26177,26168,26177,1684977780,1.53944448
26181,26181,26181,26181,1684977840,0.00161000
26060,26169,26028,26169,1684977900,28.04347475
25946,26032,25909,26031,1684977960,77.45863332
25900,25949,25878,25943,1684978020,43.42518130
25917,25942,25910,25918,1684978080,2.39013553
25961,25963,25924,25927,1684978140,1.67754200
26012,26012,25955,25966,1684978200,68.15527912
26012,26012,25969,26008,1684978260,2.82670167
26047,26047,26013,26013,1684978320,8.57038455
26088,26088,26049,26049,1684978380,13.11043843
26076,26082,26067,26082,1684978440,0.09698827
26073,26085,26073,26085,1684978500,0.00387262
26064,26068,26062,26068,1684978560,0.19551501
26125,26125,26073,26073,1684978620,6.70996961
26132,26132,26114,26127,1684978680,1.55599632
26107,26118,26107,26118,1684978740,0.01268141
26113,26114,26086,26104,1684978800,0.24974745
26070,26116,26070,26115,1684978860,9.66054791
26087,26091,26069,26070,1684978920,30.59111780
26092,26101,26092,26097,1684978980,0.32634788
26087,26087,26077,26078,1684979040,0.01247097
26090,26099,26090,26098,1684979100,1.13300830
26089,26089,26084,26086,1684979160,0.05935690
26116,26116,26090,26090,1684979220,0.18404989
26123,26123,26117,26120,1684979280,0.06252770
26137,26137,26131,26131,1684979340,1.76787195
26127,26139,26123,26138,1684979400,0.21980728
26093,26127,26092,26127,1684979460,0.13363709
26093,26093,26091,26091,1684979520,0.01138215
26087,26089,26086,26086,1684979580,0.07934715
26057,26078,26057,26078,1684979640,0.07887908
26079,26080,26047,26053,1684979700,0.02867723
26088,26088,26069,26069,1684979760,0.11814562
26107,26107,26097,26097,1684979820,0.00856785
26096,26096,26096,26096,1684979880,0.00341620
26119,26121,26104,26104,1684979940,0.12255839
26108,26110,26107,26110,1684980000,0.54833873
26099,26106,26099,26106,1684980060,0.08447196
26109,26109,26109,26109,1684980120,0.00669000
26126,26126,26110,26110,1684980180,0.08898824
26127,26127,26119,26126,1684980240,0.04634806
26124,26125,26124,26124,1684980300,0.01470822
26101,26124,26101,26124,1684980360,1.00023033
26097,26104,26092,26104,1684980420,1.19081195
26102,26102,26101,26101,1684980480,0.01876272
26109,26109,26109,26109,1684980540,0.00189904
26107,26107,26107,26107,1684980600,0.00249228
26114,26114,26104,26108,1684980660,0.02331318
26130,26130,26119,26119,1684980720,0.11732268
26137,26137,26132,26132,1684980780,0.00764517
26135,26136,26135,26136,1684980840,0.40754651
26109,26140,26109,26138,1684980900,0.57642744
26100,26111,26099,26107,1684980960,0.92558394
26096,26096,26096,26096,1684981020,0.00196281
26089,26097,26089,26097,1684981080,0.02560247
26091,26091,26090,26090,1684981140,0.01430778
26100,26100,26098,26099,1684981200,0.02528240
